Epoch,GCN,GGNN,GAT,GAAN
0,72.833,87.309,247.476,414.658
1,69.626,64.9,238.638,415.899
2,68.44,60.932,239.187,412.895
3,63.713,61.211,239.902,416.424
4,58.907,61.686,240.008,413.958
5,59.18,61.937,243.758,415.925
6,59.849,61.757,238.625,413.977
7,59.786,62.208,238.39,416.433
8,59.829,61.241,239.912,414.965
9,59.65,60.988,237.811,416.15
10,59.41,61.951,239.533,414.604
11,57.838,62.339,238.762,416.362
12,59.136,61.771,238.338,414.353
13,59.825,61.278,238.61,418.275
14,59.457,61.651,240.016,412.354
15,58.497,61.834,238.771,421.343
16,59.595,62.109,238.847,415.021
17,59.507,61.863,244.117,416.858
18,59.629,60.790 ,240.295,413.634
19,95.599,60.847,239.570 ,416.900 
